Packet number,Battery voltage (V),Thermometer (degrees C)
112,4.130371,32.59766
209,4.131836,33.05469
306,4.135254,32.88281
403,4.133545,33.11328
501,4.135254,33.28516
598,4.131836,33.33984
695,4.131836,33.11328
792,4.131836,33.22656
890,4.131836,33.33984
987,4.131836,33.22656
1084,4.131836,33.45703
1181,4.125488,33.625
1279,4.131836,33.625
1376,4.131836,33.625
1473,4.133545,33.96875
1570,4.133545,33.625
1668,4.133545,33.68359
1765,4.131836,33.68359
1862,4.131836,33.91406
1959,4.131836,33.85547
2057,4.131836,33.96875
2154,4.128662,33.74219
2251,4.127197,33.79688
2348,4.128662,33.91406
2446,4.135254,33.91406
2543,4.133545,33.96875
2640,4.133545,34.02734
2737,4.133545,33.96875
2835,4.131836,33.79688
2932,4.131836,33.91406
3029,4.133545,33.96875
3126,4.130371,34.02734
3224,4.123779,33.96875
3321,4.130371,33.96875
3418,4.131836,33.96875
3515,4.131836,33.79688
3613,4.133545,33.91406
3710,4.135254,33.85547
3807,4.133545,34.08203
3904,4.131836,33.96875
4002,4.131836,34.08203
4099,4.133545,34.19922
4196,4.128662,34.19922
4293,4.131836,33.96875
4391,4.130371,33.96875
4488,4.131836,33.96875
4585,4.131836,34.02734
4682,4.131836,34.02734
4780,4.133545,33.96875
4877,4.133545,34.19922
4974,4.133545,34.08203
5071,4.130371,34.08203
5169,4.128662,34.08203
5266,4.130371,34.25391
5363,4.131836,34.02734
5460,4.130371,34.02734
5558,4.130371,34.14063
5655,4.133545,34.14063
5752,4.131836,33.91406
5849,4.133545,34.25391
5947,4.133545,34.37109
6044,4.133545,34.25391
6141,4.130371,34.14063
6238,4.128662,34.37109
6336,4.128662,34.08203
6433,4.131836,34.42578
6530,4.130371,34.08203
6627,4.130371,34.3125
6725,4.130371,34.25391
6822,4.130371,34.42578
6919,4.130371,34.14063
7016,4.133545,34.25391
7114,4.130371,34.19922
7211,4.130371,33.91406
7308,4.130371,34.14063
7405,4.131836,34.3125
7503,4.130371,34.02734
7600,4.130371,34.42578
7697,4.131836,34.14063
7794,4.130371,34.14063
7892,4.130371,34.48438
7989,4.130371,33.91406
8086,4.128662,34.14063
8183,4.128662,34.53906
8281,4.131836,34.42578
8378,4.135254,34.53906
8475,4.131836,34.42578
8572,4.130371,34.25391
8670,4.130371,34.42578
8767,4.130371,34.25391
8864,4.130371,34.42578
8961,4.130371,34.37109
9059,4.128662,34.3125
9156,4.123779,34.42578
9253,4.128662,34.25391
9350,4.133545,34.42578
9448,4.131836,34.19922
9545,4.131836,34.3125
9642,4.131836,34.25391
9739,4.130371,34.37109
9837,4.130371,34.25391
9934,4.130371,34.37109
10031,4.130371,34.37109
10128,4.128662,34.14063
10226,4.128662,34.37109
10323,4.133545,34.48438
10420,4.130371,34.42578
10517,4.131836,34.53906
10615,4.131836,34.37109
