Packet number,Year,Month,Day,Hours,Minutes,Seconds
0,2000,1,1,0,6,55
111,2000,1,1,0,6,55
500,2000,1,1,0,6,56
889,2000,1,1,0,6,57
1278,2000,1,1,0,6,58
1667,2000,1,1,0,6,59
2056,2000,1,1,0,7,0
2445,2000,1,1,0,7,1
2834,2000,1,1,0,7,2
3223,2000,1,1,0,7,3
3612,2000,1,1,0,7,4
4001,2000,1,1,0,7,5
4390,2000,1,1,0,7,6
4779,2000,1,1,0,7,7
5168,2000,1,1,0,7,8
5557,2000,1,1,0,7,9
5946,2000,1,1,0,7,10
6335,2000,1,1,0,7,11
6724,2000,1,1,0,7,12
7113,2000,1,1,0,7,13
7502,2000,1,1,0,7,14
7891,2000,1,1,0,7,15
8280,2000,1,1,0,7,16
8669,2000,1,1,0,7,17
9058,2000,1,1,0,7,18
9447,2000,1,1,0,7,19
9836,2000,1,1,0,7,20
10225,2000,1,1,0,7,21
10614,2000,1,1,0,7,22
