Packet number,Address,Value,Fixed-point value,Name
1,0,7,NaN,FirmwareVersionMajorNum
2,1,0,NaN,FirmwareVersionMinorNum
3,2,17134,NaN,DeviceID
4,3,2,NaN,ButtonMode
5,4,19872,621,BatterySensitivity
6,5,0,0,BatteryBias
7,6,17920,280,ThermometerSensitivity
8,7,42536,-23000,ThermometerBias
9,8,3,NaN,GyroscopeFullScale
10,9,2083,16.27344,GyroscopeSensitivityX
11,10,2088,16.3125,GyroscopeSensitivityY
12,11,2077,16.22656,GyroscopeSensitivityZ
13,12,3269,3269,GyroscopeSampledPlus200dpsX
14,13,3255,3255,GyroscopeSampledPlus200dpsY
15,14,3246,3246,GyroscopeSampledPlus200dpsZ
16,15,62293,-3243,GyroscopeSampledMinus200dpsX
17,16,62265,-3271,GyroscopeSampledMinus200dpsY
18,17,62290,-3246,GyroscopeSampledMinus200dpsZ
19,18,146,18.25,GyroscopeBiasAt25degCX
20,19,16,2,GyroscopeBiasAt25degCY
21,20,65398,-17.25,GyroscopeBiasAt25degCZ
22,21,64087,-0.7075195,GyroscopeBiasTempSensitivityX
23,22,62943,-1.266113,GyroscopeBiasTempSensitivityY
24,23,4628,2.259766,GyroscopeBiasTempSensitivityZ
25,24,3642,14.22656,GyroscopeSample1Temp
26,25,208,26,GyroscopeSample1BiasX
27,26,126,15.75,GyroscopeSample1BiasY
28,27,65203,-41.625,GyroscopeSample1BiasZ
29,28,8569,33.47266,GyroscopeSample2Temp
30,29,99,12.375,GyroscopeSample2BiasX
31,30,65467,-8.625,GyroscopeSample2BiasY
32,31,15,1.875,GyroscopeSample2BiasZ
33,32,2,NaN,AccelerometerFullScale
34,33,4049,253.0625,AccelerometerSensitivityX
35,34,4108,256.75,AccelerometerSensitivityY
36,35,4148,259.25,AccelerometerSensitivityZ
37,36,64280,-4.90625,AccelerometerBiasX
38,37,64888,-2.53125,AccelerometerBiasY
39,38,64600,-3.65625,AccelerometerBiasZ
40,39,3971,248.1875,AccelerometerSampledPlus1gX
41,40,4068,254.25,AccelerometerSampledPlus1gY
42,41,4090,255.625,AccelerometerSampledPlus1gZ
43,42,61408,-258,AccelerometerSampledMinus1gX
44,43,61387,-259.3125,AccelerometerSampledMinus1gY
45,44,61329,-262.9375,AccelerometerSampledMinus1gZ
46,45,3,NaN,MagnetometerFullScale
47,46,6289,393.0625,MagnetometerSensitivityX
48,47,6428,401.75,MagnetometerSensitivityY
49,48,6314,394.625,MagnetometerSensitivityZ
50,49,1050,4.101563,MagnetometerBiasX
51,50,65080,-1.78125,MagnetometerBiasY
52,51,2661,10.39453,MagnetometerBiasZ
53,52,90,0.04394531,MagnetometerHardIronBiasX
54,53,282,0.1376953,MagnetometerHardIronBiasY
55,54,65386,-0.07324219,MagnetometerHardIronBiasZ
56,55,2,NaN,AlgorithmMode
57,56,1024,0.5,AlgorithmKp
58,57,0,0,AlgorithmKi
59,58,20480,10,AlgorithmInitKp
60,59,6144,3,AlgorithmInitPeriod
61,60,409,0.199707,AlgorithmMinValidMag
62,61,1433,0.699707,AlgorithmMaxValidMag
63,62,32767,0.9999695,AlgorithmTareQuat0
64,63,0,0,AlgorithmTareQuat1
65,64,0,0,AlgorithmTareQuat2
66,65,0,0,AlgorithmTareQuat3
67,66,1,NaN,SensorDataMode
68,67,1,NaN,DateTimeDataRate
69,68,3,NaN,BatteryAndThermometerDataRate
70,69,9,NaN,InertialAndMagneticDataRate
71,70,8,NaN,QuaternionDataRate
72,71,2,NaN,SDcardNewFileName
73,72,14336,3.5,BatteryShutdownVoltage
74,73,0,NaN,SleepTimer
75,74,0,NaN,MotionTrigWakeUp
76,75,1,NaN,BluetoothPower
77,76,0,NaN,AuxiliaryPortMode
78,77,4,NaN,DigitalIOdirection
79,78,0,NaN,DigitalIOdataRate
80,79,1,NaN,AnalogueInputDataMode
81,80,9,NaN,AnalogueInputDataRate
82,81,19859,1241.188,AnalogueInputSensitivity
83,82,0,0,AnalogueInputBias
84,83,20,NaN,PWMoutputFrequency
85,84,1,NaN,ADXL345busDataMode
86,85,9,NaN,ADXL345busDataRate
87,86,16384,256,ADXL345AsensitivityX
88,87,16384,256,ADXL345AsensitivityY
89,88,16384,256,ADXL345AsensitivityZ
90,89,0,0,ADXL345AbiasX
91,90,0,0,ADXL345AbiasY
92,91,0,0,ADXL345AbiasZ
93,92,16384,256,ADXL345BsensitivityX
94,93,16384,256,ADXL345BsensitivityY
95,94,16384,256,ADXL345BsensitivityZ
96,95,0,0,ADXL345BbiasX
97,96,0,0,ADXL345BbiasY
98,97,0,0,ADXL345BbiasZ
99,98,16384,256,ADXL345CsensitivityX
100,99,16384,256,ADXL345CsensitivityY
101,100,16384,256,ADXL345CsensitivityZ
102,101,0,0,ADXL345CbiasX
103,102,0,0,ADXL345CbiasY
104,103,0,0,ADXL345CbiasZ
105,104,16384,256,ADXL345DsensitivityX
106,105,16384,256,ADXL345DsensitivityY
107,106,16384,256,ADXL345DsensitivityZ
108,107,0,0,ADXL345DbiasX
109,108,0,0,ADXL345DbiasY
110,109,0,0,ADXL345DbiasZ
