Packet Number,Battery voltage (V),Thermometer (degC)
68,4.199463,26.71094
165,4.204346,26.65625
262,4.206055,26.88281
359,4.202881,26.94141
457,4.204346,27.22656
554,4.206055,26.88281
651,4.202881,27
748,4.204346,27.11328
846,4.202881,27.28516
943,4.202881,27.22656
1040,4.201172,27.57031
1137,4.199463,27.74219
1235,4.206055,27.625
1332,4.202881,27.68359
1429,4.204346,27.625
1526,4.206055,28.14063
1624,4.202881,28.14063
1721,4.202881,27.91406
1818,4.202881,28.08203
1915,4.204346,28.08203
2013,4.202881,28.19922
2110,4.204346,28.14063
2207,4.201172,28.02734
2304,4.202881,28.19922
2402,4.206055,28.14063
2499,4.204346,27.85547
2596,4.201172,27.96875
2693,4.202881,28.14063
2791,4.202881,28.25391
2888,4.204346,28.19922
2985,4.201172,28.25391
3082,4.196289,28.19922
3180,4.202881,28.14063
3277,4.204346,28.19922
3374,4.206055,28.19922
3471,4.204346,28.25391
3569,4.202881,28.19922
3666,4.202881,28.25391
3763,4.202881,28.19922
3860,4.204346,28.25391
3958,4.202881,27.96875
4055,4.196289,28.37109
4152,4.20752,28.59766
4249,4.206055,28.37109
4347,4.204346,28.19922
4444,4.202881,28.53906
4541,4.202881,28.3125
4638,4.202881,28.53906
4736,4.202881,28.53906
4833,4.206055,28.59766
4930,4.204346,28.59766
5027,4.199463,28.71094
5125,4.204346,28.59766
5222,4.204346,28.53906
5319,4.206055,28.65625
5416,4.202881,28.48438
5514,4.202881,28.59766
5611,4.201172,28.59766
5708,4.202881,28.76953
5805,4.202881,28.76953
5903,4.201172,28.59766
6000,4.199463,28.53906
6097,4.204346,28.59766
6194,4.204346,28.71094
6292,4.202881,28.59766
6389,4.201172,28.71094
6486,4.202881,28.82813
6583,4.202881,28.65625
6681,4.206055,28.71094
6778,4.201172,28.71094
6875,4.199463,28.94141
6972,4.197998,28.82813
7070,4.204346,28.88281
7167,4.206055,28.65625
7264,4.202881,28.88281
7361,4.201172,29.11328
7459,4.201172,28.71094
7556,4.202881,28.94141
7653,4.204346,29.05469
7750,4.199463,28.76953
7848,4.201172,28.82813
7945,4.196289,29.05469
8042,4.199463,28.88281
8139,4.204346,29
